area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Japan",Industrial,Discards,Unreported,longline,,0.2150058390
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Korea (South)",Industrial,Discards,Unreported,longline,,3.9190196850
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Marine finfishes not identified","Finfishes","Medium demersals (30 - 89 cm)","Other fishes & inverts","Japan",Industrial,Landings,Unreported,longline,Direct human consumption,0.2105942220,51.78209867235379
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Marine finfishes not identified","Finfishes","Medium demersals (30 - 89 cm)","Other fishes & inverts","Japan",Industrial,Landings,Unreported,longline,Fishmeal and fish oil,0.0001054025,9.280299079301512e-05
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Marine finfishes not identified","Finfishes","Medium demersals (30 - 89 cm)","Other fishes & inverts","Japan",Industrial,Landings,Unreported,longline,Other,0.0001054025,9.280299079301512e-05
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Marine finfishes not identified","Finfishes","Medium demersals (30 - 89 cm)","Other fishes & inverts","Korea (South)",Industrial,Landings,Unreported,longline,Direct human consumption,3.8386069366,1371.3984139913025
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Marine finfishes not identified","Finfishes","Medium demersals (30 - 89 cm)","Other fishes & inverts","Korea (South)",Industrial,Landings,Unreported,longline,Fishmeal and fish oil,0.0019212247,0.0035882066234500694
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Marine finfishes not identified","Finfishes","Medium demersals (30 - 89 cm)","Other fishes & inverts","Korea (South)",Industrial,Landings,Unreported,longline,Other,0.0019212247,0.0035882066234500694
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Direct human consumption,0.1056807415,58.38741554487788
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Fishmeal and fish oil,0.0000528933,3.0504153621335997e-07
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Other,0.0000528933,3.0504153621335997e-07
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Direct human consumption,1.9262960827,1546.333768154444
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Fishmeal and fish oil,0.0009641122,1.1794361905729671e-05
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Other,0.0009641122,1.1794361905729671e-05
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Japan",Industrial,Landings,Unreported,unknown class,Direct human consumption,0.0190556553,11.859698325964365
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Japan",Industrial,Landings,Unreported,unknown class,Fishmeal and fish oil,0.0000095374,2.1905830458339084e-05
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Japan",Industrial,Landings,Unreported,unknown class,Other,0.0000095374,2.1905830458339084e-05
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Korea (South)",Industrial,Landings,Unreported,unknown class,Direct human consumption,0.3473370173,314.09252959453477
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Korea (South)",Industrial,Landings,Unreported,unknown class,Fishmeal and fish oil,0.0001738424,0.0008469839561295881
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Korea (South)",Industrial,Landings,Unreported,unknown class,Other,0.0001738424,0.0008469839561295881
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Isurus oxyrinchus","Shortfin mako","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Direct human consumption,0.2278203396,293.7605274847816
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Isurus oxyrinchus","Shortfin mako","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Fishmeal and fish oil,0.0001140242,6.5759063958031e-07
