scientific_name,milieu
Katsuwonus pelamis,pelagic-oceanic
Thunnus alalunga,pelagic-oceanic
Seriola lalandi,benthopelagic
Parapercis colias,demersal
Genypterus blacodes,bathydemersal
Thyrsites atun,benthopelagic
Chelidonichthys kumu,demersal
Mugil cephalus,benthopelagic
Pseudocaranx dentex,reef-associated
Zeus faber,benthopelagic
Pseudophycis bachus,demersal
Galeorhinus galeus,benthopelagic
Callorhinchus milii,demersal
Arripis trutta,pelagic-neritic
Mustelus lenticulatus,demersal
Pagrus auratus,reef-associated
Girella tricuspidata,benthopelagic
Nemadactylus macropterus,demersal
Seriolella brama,benthopelagic
Kathetostoma giganteum,demersal
Aldrichetta forsteri,demersal
Meuschenia scaber,demersal
Latris lineata,reef-associated
Sardinops sagax,pelagic-neritic
Thunnus maccoyii,pelagic-oceanic
Merluccius australis,benthopelagic
Macruronus novaezelandiae,benthopelagic
Scorpis violacea,benthopelagic
Cetorhinus maximus,pelagic-oceanic
Coryphaena hippurus,pelagic-neritic
Thunnus albacares,pelagic-oceanic
Thunnus obesus,pelagic-oceanic
Xiphias gladius,pelagic-oceanic
Carcharhinus falciformis,reef-associated
Carcharhinus longimanus,pelagic-oceanic
Prionace glauca,pelagic-oceanic
Thunnus orientalis,pelagic-oceanic
Istiompax indica,pelagic-oceanic
Kajikia audax,pelagic-oceanic
Hyperoglyphe antarctica,benthopelagic
Lepidopus caudatus,benthopelagic
Seriolella caerulea,pelagic-neritic
Micromesistius australis,benthopelagic
Scomber australasicus,pelagic-neritic
Seriolella punctata,benthopelagic
Centroberyx affinis,benthopelagic
Mora moro,bathypelagic
Hoplostethus atlanticus,bathypelagic
Trachurus declivis,benthopelagic
Squalus acanthias,benthopelagic
Beryx splendens,benthopelagic
Epigonus telescopus,bathydemersal
Plagiogeneion rubiginosum,bathydemersal
Hydrolagus novaezealandiae,bathydemersal
Allothunnus fallai,pelagic-oceanic
Centrolophus niger,bathypelagic
Brama brama,pelagic-neritic
Dalatias licha,bathydemersal
Squalus mitsukurii,benthopelagic
Carcharhinus brachyurus,reef-associated
Sphyrna zygaena,pelagic-oceanic
Ruvettus pretiosus,benthopelagic
Mola mola,pelagic-oceanic
Notorynchus cepedianus,demersal
Alopias vulpinus,pelagic-oceanic
Zenopsis nebulosa,benthopelagic
Genyagnus monopterygius,demersal
Lepidorhynchus denticulatus,bathypelagic
Paristiopterus labiosus,demersal
Pentaceros decacanthus,bathydemersal
Argentina elongata,demersal
Cyttus novaezealandiae,demersal
Lamna nasus,pelagic-oceanic
Isurus oxyrinchus,pelagic-oceanic
Lampris guttatus,bathypelagic
Tetrapturus angustirostris,pelagic-oceanic
Neocyttus rhomboidalis,bathypelagic
Cyttus traversi,bathydemersal
Eptatretus cirrhatus,bathydemersal
Carcharodon carcharias,pelagic-oceanic
Trachipterus trachypterus,bathypelagic
Harriotta raleighana,bathydemersal
Tripterophycis gilchristi,bathydemersal
Paratrachichthys trailli,bathypelagic
Capromimus abbreviatus,bathydemersal
Istiophorus platypterus,pelagic-oceanic
Magnisudis prionosa,bathypelagic
Centriscops humerosus,bathydemersal
Notopogon lilliei,demersal
Dissostichus eleginoides,pelagic-oceanic
Lepidocybium flavobrunneum,benthopelagic
Regalecus glesne,pelagic-oceanic
Diastobranchus capensis,bathydemersal
Centrophorus squamosus,bathydemersal
Polyprion oxygeneios,demersal
Antimora rostrata,bathypelagic
Odontaspis ferox,benthopelagic
Galeocerdo cuvier,benthopelagic
Halargyreus johnsonii,bathypelagic
Sphoeroides pachygaster,benthopelagic
Macrourus carinatus,bathydemersal
Makaira mazara,pelagic-oceanic
Pseudocyttus maculatus,bathydemersal
Rexea solandri,benthopelagic
Allocyttus niger,bathypelagic
Alopias superciliosus,pelagic-oceanic
Beryx decadactylus,bathydemersal
Carcharhinus galapagensis,reef-associated
Alepisaurus ferox,bathypelagic
